dates,AccessLicenceAccounts/15101-HS_res/AccUsage/FYear.Total,AccessLicenceAccounts/15101-GS/AccUsage/FYear.Total,AccessLicenceAccounts/15101-DS/AccUsage/FYear.Total,AccessLicenceAccounts/15101-DS_dom/AccUsage/FYear.Total,AccessLicenceAccounts/15101-DS_sto/AccUsage/FYear.Total,AccessLicenceAccounts/15101-LWU/AccUsage/FYear.Total,AccessLicenceAccounts/15101-HS/AccUsage/FYear.Total,AccessLicenceAccounts/15101-DS_sto/UncFlUsage/FYear.Total,AccessLicenceAccounts/15101-LWU/UncFlUsage/FYear.Total,AccessLicenceAccounts/15101-DS/UncFlUsage/FYear.Total,AccessLicenceAccounts/15101-HS/UncFlUsage/FYear.Total,AccessLicenceAccounts/15101-GS/UncFlUsage/FYear.Total,AccessLicenceAccounts/15101-HS_res/UncFlUsage/FYear.Total,AccessLicenceAccounts/15101-DS_dom/UncFlUsage/FYear.Total
2010-07-01,0.0,3259.0,16.0,25.0,1.0,3417.0,189.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2011-07-01,0.0,3451.0,6.0,22.0,5.0,505.0,229.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.0,8182.4,7.1,36.9,0.0,2951.9,273.6,0.0,0.0,0.0,0.0,1909.2,0.0,0.0
2013-07-01,3.0,10875.7,18.0,44.2,15.0,5394.3,484.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0
2014-07-01,0.0,14.5,4.0,32.8,0.0,4007.8,285.1,0.0,0.0,0.0,0.0,1708.7,0.0,0.0
2015-07-01,3.0,2653.6,13.9,34.0,5.0,5753.9,304.9,0.0,0.0,0.0,0.0,2243.2,0.0,0.0
2016-07-01,0.0,4862.1,10.0,26.2,0.0,5319.2,148.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,13700.2,10.0,55.9,5.0,8163.4,118.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,3.0,9224.5,16.9,35.5,5.0,8909.1,284.7,0.0,0.0,0.0,0.0,103.1,0.0,0.0
2019-07-01,0.0,108.0,4.2,29.5,0.0,5388.4,328.2,0.0,0.0,0.0,0.0,223.1,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,1522.4,6.9,0.0,0.0,0.0,0.0,417.3,0.0,0.0
